FOXF,6,16.5483,32.64
IPI,0.19,3.5492,0.42
BV,0.83,8.4458,117.94
DNOW,1.02,5.8650,4.33
PRGS,4.7,14.5086,194.31
MHO,18.22,4.5477,40.85
MORN,5.27,40.5842,109.27
CRSR,0.78,34.5673,41.79
KALU,5.46,14.0708,172.15
NBR,8.74,4.4032,226.91
STAA,1.17,62.7517,9.19
RPM,5.62,16.9768,141.34
DNB,1.1,12.9906,107.22
PUMP,1.59,2.8693,6.51
SFM,2.79,10.5472,150
EGP,4.14,28.5036,79.01
LXU,0.81,4.8010,113.7
WSO,14.67,16.7792,28.34
BRX,0.88,14.6666,172.13
OMCL,2.33,72.7845,52.82
CWST,1.31,22.1308,108.66
FOUR,3.41,15.6244,369.49
GTLS,11.65,29.1453,156.72
KD,0.23,13.5077,318.3
PCRX,3.95,12.6137,76.82
AHH,0.42,17.8215,157.6
COHU,2.47,10.2538,6.72
PSMT,4.26,8.2357,25.45
LSTR,8.73,12.7394,14.46
ATR,4.97,15.6182,58.7
NEOG,0.75,30.4365,28.79
RRR,2.65,7.7649,2664.09
PRG,3.45,4.3215,102.75
AVNS,1.54,8.9152,20.56
JAZZ,20.2,8.0663,164.51
KRO,0.49,70.6185,51.83
CHK,6.32,2.0423,20.4
PFGC,5.15,11.0504,126.67
INVA,1.06,7.8959,80.76
STRA,4.05,16.1461,15.74
HSII,3.09,3.4866,19.04
VVV,1.66,20.9567,734.27
TPX,3.06,14.3389,2307.25
RRC,3.25,3.4353,52.86
PCG,1.35,13.0380,231.99
AXTA,1.8,11.6358,211.24
ALIT,0.72,17.0699,59.91
GLNG,2.64,38.6155,46.91
ULH,4.68,4.4119,99.03
SMP,3.66,6.1383,46.75
PAHC,1.31,8.8482,180.51
VNT,3.16,9.8746,352.98
GBX,3.59,9.2942,116.82
AMED,4.64,18.3587,45.89
WSR,0.4,14.7374,150.83
TRS,2.15,12.2291,71.95
ADT,0.51,6.0064,295.73
RCKY,3.06,7.0465,108.45
HWKN,2.68,11.8092,26.38
ONTO,4.65,23.2718,1.16
USM,0.49,10.3166,89.74
ROAD,1.18,18.1920,90.92
ZWS,1.12,21.5742,38.13
WW,0.46,13.8767,0
SPNT,1.6,2.9595,35.39
MTZ,5.6,13.3649,136.79
RYAN,1.7,16.1408,228.88
NOG,7.77,3.2696,118.14
CR,5.31,7.6433,21.19
JBL,9.27,6.5567,137.89
HNI,2.6,12.4065,104.53
WPC,4.82,15.6355,93.18
MATX,7.05,5.2544,34.5
CHGG,1.14,18.4600,76.16
PETS,0.53,171.4530,1.75
REX,2.51,11.1497,2.38
DVAX,0.09,10.6039,44.67
DENN,0.71,11.5095,0
ADC,1.71,19.1185,43.53
FI,8.54,13.2957,75.53
HLIT,0.91,19.7019,46.09
LITE,4.06,17.4719,211.96
HL,0.12,16.8144,29.16
RDN,3.3,5.2435,39.28
AXS,9.28,9.6144,30.29
SCHL,3.12,8.9505,9.26
SEM,2.39,12.5674,328.58
SANM,6.67,5.0882,18.54
MRCY,1.81,29.2822,37.58
PLAB,2.25,3.3363,2.13
MIR,0.4,18.5171,46.11
SAH,6.8,7.2630,411.66
LOCO,0.87,11.7914,90.59
NUS,2.65,7.8061,69
KRT,1.85,8.4421,41.72
VMI,17.24,10.5874,66.91
PCYO,0.09,21.4219,3.44
IART,3.51,12.3892,95.36
ECVT,1.04,10.4072,135.1
KTOS,0.5,53.3826,35.5
SNDR,2.21,5.7216,7.33
SBRA,0.56,17.0871,82.21
MSEX,2.66,22.2710,95.61
SPNS,1.43,17.9822,21.21
HLMN,0.47,14.2755,80.1
HE,2.17,6.8135,157.93
INSE,1.19,8.5300,0
DOC,0.24,16.5644,70.74
UI,10.69,19.8512,0
CXW,0.82,7.9393,76.91
ESGR,40,9.1380,35.87
GDDY,3.5,19.8759,0
HVT,4.06,5.4165,70.56
CRMT,6.72,20.1936,140.47
VSCO,2.5,5.8454,950.67
GPOR,25.55,1.7484,46.95
CSL,20.32,11.6680,85.23
HI,3.9,7.4647,85.42
EVC,0.46,7.0994,94.11
BXC,13.14,4.3023,97.82
IDT,1.5,6.0340,3.05
SCL,5.36,11.5506,61.88
AVT,6.64,6.0279,69.47
ALTG,0.27,9.5378,777.65
HAYN,4.68,8.6112,25.69
MATW,3.13,14.7735,163.43
AMK,2.47,11.2150,10.58
RMNI,0.3,3.4314,0
VTOL,3.01,10.7192,103.88
EVTC,3.01,13.6229,77.14
HCI,3.84,627.0739,73.82
NVST,2.09,11.5575,35.55
AMWD,9,7.0318,53.06
RLGT,0.67,5.1710,47.85
SAVE,0.51,29.1289,429.04
MDRX,0.86,9.6935,18.59
EXLS,1.58,17.9650,34.23
ODP,5.74,7.1212,76.57
TRIP,1.38,16.8980,118.05
VSH,2.54,3.9957,34.9
AIV,0.26,32.7501,155.72
AIR,4.24,13.9980,30.04
XPRO,1.36,13.1958,6.87
CBZ,2.69,18.2561,79.85
ENFN,0.25,45.8682,17.74
TXRH,5.44,15.2345,67.36
AR,2.61,4.7569,67.31
IVT,0.15,14.4896,52.91
FIVE,6.55,21.7936,111.51
NDSN,9.55,18.1570,37.26
EVRI,1.22,5.8582,409.57
NGVC,0.82,10.9931,226.03
PKE,0.51,17.2190,0.15
DECK,26.01,18.3485,14.46
WMS,6.26,12.6106,136.99
OPCH,1.22,20.1971,78.85
COLM,5.32,8.8219,19.62
IBEX,2.29,6.2374,69.49
RES,1.27,3.5079,2.91
SUPN,1.84,15.3638,4.59
ENTG,3.59,23.4301,165.9
FWRD,5.21,7.8793,45.54
LSEA,1.58,8.1129,69.92
POWL,3.91,15.0813,0.49
FCFS,6.82,6.8969,89.94
LILA,0.82,6.4545,359.71
PANW,6.4,128.2752,133.32
LULU,13.9,21.9118,33.78
VRT,1.96,19.8527,188.17
LEGH,2.62,6.7078,1.66
PLXS,5.94,9.5182,45.72
OSIS,8.54,14.2478,54.13
AMH,0.52,22.9912,58.24
EXTR,1.99,23.7352,226.64
NTST,0.16,20.3756,40.83
DXPE,4.17,6.9255,126.61
CWH,2.25,11.1136,1411.51
ABM,3.87,9.9221,85.03
EXEL,0.96,36.2197,7.7
RLJ,0.34,11.0280,97.46
SLVM,5.62,3.8109,125.87
ESE,4.21,16.2985,18.99
WEYS,1.45,5.4168,7.2
SGC,0.76,8.8219,70.33
CHUY,1.95,15.1958,72.96
FRO,2.95,5.6089,100.08
HIBB,8.28,4.7557,103.79
AIN,4.2,12.5912,53.18
REXR,1.36,30.3316,29.61
PTVE,0.99,4.9221,320.78
PSTG,1.67,87.9593,27.77
CMPO,1.19,7.5438,0
VPG,2.57,7.2783,26.07
PECO,0.43,17.0888,76.17
ARTNA,2,15.7723,78.65
TRNS,2.03,32.3017,56.48
MMI,1.59,43.8238,14.54
LFUS,13.85,11.6248,44.87
EGLE,6.58,5.6278,86.11
CPK,5.8,12.1379,89.73
APOG,4.43,7.8345,52.17
MDXG,0.3,386.2420,63.76
BLD,19.95,10.5747,74.05
FAF,5.39,10.5292,46.84
NMRK,1.22,14.0867,161.91
SMCI,19.22,18.5881,15.69
UE,0.4,17.2646,176.62
PRAA,0.45,22.2063,225.54
HQY,2.6,26.7213,48.01
KEX,5.03,12.7750,37.72
JACK,6.85,13.4689,0
FN,8.97,17.4131,0.91
NVT,3.23,15.9960,72
PTEN,1.43,4.1088,49.09
QUAD,0.52,3.7264,469.4
LSCC,2.44,52.9115,10.54
AYI,13.23,8.7249,30.08
VVI,1.24,11.4126,249.52
SOVO,0.79,15.5350,99.39
SAFT,5,19.2273,7.15
RH,15.04,14.9224,0
MRVL,2.35,41.3587,28.51
EGRX,3.27,4.6272,28.75
UNF,7.51,12.9904,3.26
ALGT,10.65,6.1592,165.36
LGIH,12.67,16.4052,61.17
LFCR,0.22,660.8410,174.56
VSTO,5.3,5.4159,93.75
MRTN,1.27,6.6573,0.09
