AOS,3.86,13.3911,12.76,70.51
CLX,6.57,21.1087,761.34,154.26
AAP,5.57,9.3376,168.77,62.54
MHK,11.46,6.5541,42.23,93.42
MO,4.84,8.5482,0,44.46
TRMB,2.97,21.9407,76.2,50.79
CVS,8.6,8.1887,112.51,68.75
COO,14.17,22.6439,34.46,351.59
GPC,9.99,12.1416,104.42,148.71
BAX,3.09,11.3276,300.5,38.7
ARE,3.96,20.9949,50.82,112.66
REG,2.05,18.6341,64.33,63.88
JBHT,9.07,10.9673,46.15,184.17
PYPL,5.27,12.4279,57.02,61.93
O,1.37,18.1380,64.52,55.17
CHTR,39.15,7.6926,700.53,435.84
HLT,6.9,19.3716,0,154.74
SNA,18.94,10.1143,26.7,261.25
DHI,13.82,6.6688,27.93,117.88
FIS,6.44,11.9950,96.28,55.52
SNPS,12.7,52.9408,11.49,461.82
MDT,5.46,14.8426,48.63,81.4
PH,25.13,15.0808,124.8,406.17
CMS,3.35,13.8581,196.24,56.14
APH,3.21,18.1054,56.89,86.45
FAST,2.12,19.2371,18.29,54.6
CF,6.8,4.2815,38.08,81.82
FCX,1.98,8.9148,36.48,40.11
NKE,4.11,22.2765,86.72,96.79
LNT,3.08,14.0760,140.05,50.79
LMT,28.09,11.7597,189.88,420.66
ETSY,2.84,22.7073,0,64.82
HPE,2.14,6.4152,65.33,17.23
GOOG,6.18,17.9598,11.02,137.74
COP,9.89,5.4719,34.6,120.44
LYV,1.68,14.8527,747.86,82.58
MCHP,6.14,11.3751,88.75,79.46
RHI,4.24,10.0292,13.43,72.35
MTD,45.13,22.3838,0,1128.99
ADSK,8.49,42.6297,220.98,218.74
CTVA,3.3,11.5961,20.08,49.81
ABT,4.62,18.5393,45.42,102.45
AFL,6.16,9.8221,60.46,75.59
ADM,6.67,10.0215,38.87,78.74
MAS,3.97,10.9098,11703.57,56.64
BXP,2.32,14.8475,192.03,66.16
STE,9.65,18.4704,50.54,228.78
EFX,8.83,19.9495,134.78,198.01
TSN,3.05,9.9874,49.29,52.56
T,2.47,6.4089,142.91,14.52
WY,1.34,16.7036,57.36,32.04
PM,6.82,14.1416,0,94.53
